,,,,,,,,,,,,,,,,,,,,,,AFS Days,Shipment Plan Days,,,,,Bunch Qty,,,to ship,,,
,,,,,,,,,,,,,,,,,,,,,,30,40,,,,,2,,,1347,,,
Group Name,SKU,Title,Category,Int – WH,Dec – WH,Non Apron Qty,APR- Sky Blue,APR- Dark Blue,APR- Brown,APR- Green,APR- Tan,APR- Black,APR- Red,APR- Grey,weight,Total Weight, ,HSN,GST ,COST,SKU,Title,Tra. Qty,quantity,Available Qty,Fulfilment ID,Sale-Total,Sale-WH,Ship – WH,Sum,Final – WH,,,
Canon G (Grey),CRM-Canon-G3012-NW-Grey,"Crasome Dust & Water Proof Printer Cover for Canon Pixma G3012 / G3010 / G2012 (Grey)",Printer NW,15,0.5,40,,,,,,,,,90,3600,,630790,5,40,CRM-Canon-G3012-NW-Grey,"Crasome Dust & Water Proof Printer Cover for Canon Pixma G3012 / G3010 / G2012 (Grey)",60,53,113,BLR4,110,108,31,,40,,,
Canon G (Black),CRM-Canon-G3012-NW-Black,"Crasome Dust & Water Proof Printer Cover for Canon Pixma G3012 / G3010 / G2012 (Black)",Printer NW,41,0,90,,,,,,,,,90,8100,,630790,5,40,CRM-Canon-G3012-NW-Black,"Crasome Dust & Water Proof Printer Cover for Canon Pixma G3012 / G3010 / G2012 (Black)",80,58,138,BLR4,170,165,82,,90,,,
HP 136NW (Grey),CRM-HP-M126-M136nw-Grey,Crasome Dust & Water Proof Printer Cover for HP LaserJet MFP 126nw / 136a / 136w / 136nw (Grey),Printer NW,,,,,,,,,,,,111,,,630790,5,40,CRM-HP-M126-M136nw-Grey,Crasome Dust & Water Proof Printer Cover for HP LaserJet MFP 126nw / 136a / 136w / 136nw (Grey),0,15,15,BLR4,9,8,-4,,,,,
HP 136NW (Black),CRM-HP-M126-M136nw-Black,Crasome Dust & Water Proof Printer Cover for HP LaserJet MFP 126nw / 136a / 136w / 136nw (Black),Printer NW,2,0.5,10,,,,,,,,,111,1110,,630790,5,40,CRM-HP-M126-M136nw-Black,Crasome Dust & Water Proof Printer Cover for HP LaserJet MFP 126nw / 136a / 136w / 136nw (Black),5,26,31,BLR4,26,27,5,,10,,,
HP 4826 (Grey),CRM-HP-4826-Grey-1,Crasome Dust & Water Proof Printer Cover for HP Deskjet All-in-One 4826 (Grey),Printer NW,,,,,,,,,,,,75,,,630790,5,40,CRM-HP-4826-Grey-1,Crasome Dust & Water Proof Printer Cover for HP Deskjet All-in-One 4826 (Grey),0,14,14,BLR4,1,1,-12,,,,,
G4770 (Black),CRM-PR-G4770-NW-BLACK,Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Black),Printer NW,3,0.5,10,,,,,,,,,90,900,,630790,5,40,CRM-PR-G4770-NW-BLACK,Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Black),10,25,35,BLR4,31,31,7,,10,,,
G4770 (Grey),CRM-PR-G4770-NW-GREY,Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey),Printer NW,1,0.5,4,,,,,,,,,90,360,,630790,5,40,CRM-PR-G4770-NW-GREY,Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey),5,11,16,BLR4,16,14,3,,4,,,
HP 750 (Grey),CRM-HP-750-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 750 / 790 (Grey),Printer NW,3,0.5,10,,,,,,,,,105,1050,,630790,5,40,CRM-HP-750-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 750 / 790 (Grey),30,6,36,BLR4,31,32,7,,10,,,
HP 750 (Black),CRM-HP-750-Black,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 750 / 790 (Black),Printer NW,2,0.5,10,,,,,,,,,105,1050,,630790,5,40,CRM-HP-750-Black,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 750 / 790 (Black),0,9,9,BLR4,10,10,5,,10,,,
HP 670 (Grey),CRM-HP-670-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 670 / 675 (Grey),Printer NW,3,0.5,10,,,,,,,,,96,960,,630790,5,40,CRM-HP-670-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 670 / 675 (Grey),5,4,9,BLR4,13,12,7,,10,,,
HP 670 (Black),CRM-HP-670-Black,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 670 / 675 (Black),Printer NW,3,0.5,10,,,,,,,,,96,960,,630790,5,40,CRM-HP-670-Black,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 670 / 675 (Black),5,3,8,BLR4,11,11,7,,10,,,
HP 580 (Grey),CRM-HP-529-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 529 / 589 (Grey),Printer NW,9,0,50,,,,,,,,,88,4400,,630790,5,40,CRM-HP-529-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 529 / 589 (Grey),25,12,37,BLR4,45,41,18,,50,,,
HP 4826 (Grey),CRM-HP-4826-4929-Grey,Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet Advantage Ultra 2820 / 4929 (Grey),Printer NW,9,0.5,20,,,,,,,,,90,1800,,630790,5,40,CRM-HP-4826-4929-Grey,Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet Advantage Ultra 2820 / 4929 (Grey),0,27,27,BLR4,33,34,19,,20,,,
HP 4826 (Grey),CRM-HP-4828-2878-GREY,Crasome Dust & Water Proof Printer Cover for HP Ink Advantage 2878 / 2876 (Grey),Printer NW,1,0,,,,,,,,,,90,,,630790,5,40,CRM-HP-4828-2878-GREY,Crasome Dust & Water Proof Printer Cover for HP Ink Advantage 2878 / 2876 (Grey),0,0,0,BLR4,,0,0,,,,,
L2321,CRM-BR-L2321D-L2440DW-BLUE,Crasome Dust Proof Water Resistant Printer Cover for Brother HL-L2440DW / HL-L2460DW / HL-L2400D (Blue),Printer,1,0,,,,,,,,,,80,,,630790,5,55,CRM-BR-L2321D-L2440DW-BLUE,Crasome Dust Proof Water Resistant Printer Cover for Brother HL-L2440DW / HL-L2460DW / HL-L2400D (Blue),0,2,2,BLR4,1,1,0,,,,,
HP 580 (Black),CRM-HP-529-Black,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 529 / 589 (Black),Printer NW,6,0.5,20,,,,,,,,,88,1760,,630790,5,40,CRM-HP-529-Black,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 529 / 589 (Black),15,11,26,BLR4,30,29,13,,20,,,
HP 580 (Grey),CRM-HP-580-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 580 / 581 / 585 (Grey),Printer NW,60,0,150,,,,,,,,,88,13200,,630790,5,40,CRM-HP-580-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 580 / 581 / 585 (Grey),150,308,458,BLR4,445,433,120,,150,,,
