,,,,,,,,,,,,,,,,,,,,,,AFS Days,Shipment Plan Days,,,,,Bunch Qty,,,to ship,,,
,,,,,,,,,,,,,,,,,,,,,,30,50,,,,,2,,,1975,,,
Group Name,SKU,Title,Category,Int – WH,Dec – WH,Non Apron Qty,APR- Sky Blue,APR- Dark Blue,APR- Brown,APR- Green,APR- Tan,APR- Black,APR- Red,APR- Grey,weight,Total Weight,,HSN,GST ,COST,SKU,Title,Tra. Qty,quantity,Available Qty,Fulfilment ID,Sale-Total,Sale-WH,Ship – WH,Sum,Final – WH,,,
Canon G (Grey),CRM-Canon-G3012-NW-Grey,"Crasome Dust & Water Proof Printer Cover for Canon Pixma G3012 / G3010 / G2012 (Grey)",Printer NW,19,0,60,,,,,,,,,90,5400,,630790,5,40,CRM-Canon-G3012-NW-Grey,"Crasome Dust & Water Proof Printer Cover for Canon Pixma G3012 / G3010 / G2012 (Grey)",34,73,107,BLR4,88,87,38,,60,,,
Canon G (Black),CRM-Canon-G3012-NW-Black,"Crasome Dust & Water Proof Printer Cover for Canon Pixma G3012 / G3010 / G2012 (Black)",Printer NW,26,0.5,80,,,,,,,,,90,7200,,630790,5,40,CRM-Canon-G3012-NW-Black,"Crasome Dust & Water Proof Printer Cover for Canon Pixma G3012 / G3010 / G2012 (Black)",84,65,149,BLR4,131,121,53,,80,,,
HP 136NW (Grey),CRM-HP-M126-M136nw-Grey,Crasome Dust & Water Proof Printer Cover for HP LaserJet MFP 126nw / 136a / 136w / 136nw (Grey),Printer NW,,,,,,,,,,,,111,,,630790,5,40,CRM-HP-M126-M136nw-Grey,Crasome Dust & Water Proof Printer Cover for HP LaserJet MFP 126nw / 136a / 136w / 136nw (Grey),4,14,18,BLR4,9,9,-3,,,,,
HP 136NW (Black),CRM-HP-M126-M136nw-Black,Crasome Dust & Water Proof Printer Cover for HP LaserJet MFP 126nw / 136a / 136w / 136nw (Black),Printer NW,1,0.5,5,,,,,,,,,111,555,,630790,5,40,CRM-HP-M126-M136nw-Black,Crasome Dust & Water Proof Printer Cover for HP LaserJet MFP 126nw / 136a / 136w / 136nw (Black),8,28,36,BLR4,26,23,3,,5,,,
HP 4826 (Grey),CRM-HP-4826-Grey-1,Crasome Dust & Water Proof Printer Cover for HP Deskjet All-in-One 4826 (Grey),Printer NW,,,,,,,,,,,,75,,,630790,5,40,CRM-HP-4826-Grey-1,Crasome Dust & Water Proof Printer Cover for HP Deskjet All-in-One 4826 (Grey),0,14,14,BLR4,2,2,-10,,,,,
G4770 (Black),CRM-PR-G4770-NW-BLACK,Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Black),Printer NW,2,0.5,10,,,,,,,,,90,900,,630790,5,40,CRM-PR-G4770-NW-BLACK,Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Black),6,31,37,BLR4,27,25,5,,10,,,
G4770 (Grey),CRM-PR-G4770-NW-GREY,Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey),Printer NW,1,0.5,5,,,,,,,,,90,450,,630790,5,40,CRM-PR-G4770-NW-GREY,Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey),0,16,16,BLR4,13,11,3,,5,,,
HP 750 (Grey),CRM-HP-750-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 750 / 790 (Grey),Printer NW,14,0,30,,,,,,,,,105,3150,,630790,5,40,CRM-HP-750-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 750 / 790 (Grey),0,17,17,BLR4,30,27,28,,30,,,
HP 750 (Black),CRM-HP-750-Black,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 750 / 790 (Black),Printer NW,1,0,,,,,,,,,,105,,,630790,5,40,CRM-HP-750-Black,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 750 / 790 (Black),0,12,12,BLR4,7,7,0,,,,,
HP 670 (Grey),CRM-HP-670-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 670 / 675 (Grey),Printer NW,2,0,5,,,,,,,,,96,480,,630790,5,40,CRM-HP-670-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 670 / 675 (Grey),10,3,13,BLR4,10,10,4,,5,,,
